nside,n_sys,n_pix,n_real,n_mean,sigma_clus,regime,cl_slope,kappa_per_template_median,kappa_per_template_max,kappa_field,fpr3_per_template,fpr3_any_template,sigma_emp_median,sigma_iid_median,cell
64,9,22641,2000,127,0,shot-only,0,0.994349,1.0335,0.995722,0.00272222,0.0205,0.000753153,0.000740544,ns64_slope1.5_sc0.4
64,11,22641,2000,127,0,shot-only,0,1.00005,1.03719,1.00451,0.00318182,0.0315,0.000957385,0.000967177,ns64_slope1.5_sc0.4
64,3,22641,2000,127,0.4,clustered,1.5,7.74432,7.96366,7.5835,0.661333,0.956,0.026624,0.00340868,ns64_slope1.5_sc0.4
64,5,22641,2000,127,0.4,clustered,1.5,5.60881,7.93676,6.55153,0.5795,0.995,0.0166409,0.00306465,ns64_slope1.5_sc0.4
64,7,22641,2000,127,0.4,clustered,1.5,5.47264,7.39926,6.26149,0.547286,0.9955,0.0162818,0.00317632,ns64_slope1.5_sc0.4
64,9,22641,2000,127,0.4,clustered,1.5,3.51071,7.29661,5.65785,0.450389,0.993,0.0161781,0.00352814,ns64_slope1.5_sc0.4
64,11,22641,2000,127,0.4,clustered,1.5,3.41624,7.40065,5.09637,0.368864,0.994,0.0119183,0.00460603,ns64_slope1.5_sc0.4
64,3,22641,2000,127,0,shot-only,0,1.00815,1.01702,1.00194,0.00316667,0.0095,0.000692234,0.000714801,ns64_slope2.0_sc0.2
64,5,22641,2000,127,0,shot-only,0,1.0009,1.0099,0.996934,0.0029,0.014,0.000644048,0.000642745,ns64_slope2.0_sc0.2
64,7,22641,2000,127,0,shot-only,0,0.993081,1.02795,0.998202,0.00335714,0.02,0.000685084,0.000666456,ns64_slope2.0_sc0.2
64,9,22641,2000,127,0,shot-only,0,1.00604,1.02356,1.00422,0.00294444,0.023,0.00075787,0.000740427,ns64_slope2.0_sc0.2
64,11,22641,2000,127,0,shot-only,0,1.00862,1.03555,1.00416,0.003,0.029,0.000976105,0.000967251,ns64_slope2.0_sc0.2
64,3,22641,2000,127,0.2,clustered,2,12.2949,13.0648,12.3734,0.797333,0.99,0.0217235,0.00175187,ns64_slope2.0_sc0.2
64,5,22641,2000,127,0.2,clustered,2,9.41139,12.9659,10.8103,0.7314,0.9975,0.014318,0.00157147,ns64_slope2.0_sc0.2
64,7,22641,2000,127,0.2,clustered,2,9.0966,12.3047,10.2929,0.688071,1,0.0138158,0.00162149,ns64_slope2.0_sc0.2
64,9,22641,2000,127,0.2,clustered,2,5.52704,12.3946,9.31189,0.581611,1,0.0130149,0.00180286,ns64_slope2.0_sc0.2
64,11,22641,2000,127,0.2,clustered,2,5.365,12.2888,8.35044,0.480364,0.9995,0.00895048,0.00235124,ns64_slope2.0_sc0.2
64,3,22641,2000,127,0,shot-only,0,1.00789,1.0255,1.00877,0.0025,0.0075,0.00071533,0.000714929,ns64_slope2.0_sc0.4
64,5,22641,2000,127,0,shot-only,0,1.00102,1.02526,1.0071,0.0036,0.0165,0.00063921,0.000642752,ns64_slope2.0_sc0.4
